Name,Review URL,District,District ID,Category ID,Category Name,Price UI,Address,Review Count,Smile,Cry,Overall Score,Bookmark Count,Latitude,longitude
The Joomak,/en/hongkong/r-the-joomak-tsim-sha-tsui-korean-r458081/reviews,Tsim Sha Tsui,2008,"[2001, 1033]","[Korean, Izakaya]",$101-200,"Shop 34, LCX, 3/F, Ocean Terminal, Harbour City, 3-27 Canton Road",439,322.0,26.0,3.732004,14400,22.294926664600002,114.166874886
Arashiyama Japanese Restaurant 嵐山日本料理,/en/hongkong/r-arashiyama-japanese-restaurant-tsim-sha-tsui-japanese-sushi-sashimi-r187493/reviews,Tsim Sha Tsui,2008,"[2009, 1034, 1072]","[Japanese, Sushi/Sashimi, Skewer]",$201-400,"G/F, 11 Minden Avenue",282,253.0,3.0,4.021897,10315,22.296945,114.17433999999999
Flame Japanese Cuisine 焱丸水產,/en/hongkong/r-flame-japanese-cuisine-tsim-sha-tsui-japanese-seafood-r348654/reviews,Tsim Sha Tsui,2008,"[2009, 1009, 1034]","[Japanese, Seafood, Sushi/Sashimi]",$201-400,"Shop 5&6, G/F, Wah Fung Building, 23 Minden Avenue",381,314.0,14.0,3.977348,17108,22.296862,114.17492800000001
Thai on 5 Seafood Grill and Bar 泰燒遙,/en/hongkong/r-thai-on-5-seafood-grill-and-bar-tsim-sha-tsui-thai-seafood-r181025/reviews,Tsim Sha Tsui,2008,"[2004, 1009, 8, 1072]","[Thai, Seafood, Private Party, Skewer]",$201-400,"5/F, 1 Knutsford Terrace",353,299.0,8.0,3.847337,14133,22.3011648885,114.173132479
Amour Corner,/en/hongkong/r-amour-corner-mong-kok-western-r138892/reviews,Mong Kok,2010,"[4000, 1003]","[Western, Steak House]",$101-200,"G/F, 106 Portland Street",368,282.0,27.0,3.7619309999999997,11387,22.31486,114.16976399999999
Daieiki Japanese Restaurant 大瀛喜日本料理,/en/hongkong/r-daieiki-japanese-restaurant-mong-kok-japanese-all-you-can-eat-r173165/reviews,Mong Kok,2010,"[2009, 1076]","[Japanese, All-you-can-eat]",$201-400,"5/F, MPM Plaza, 11 Nelson Street",404,331.0,10.0,3.883202,17522,22.318378087600003,114.16897170200001
Dazzling Cafe,/en/hongkong/r-dazzling-cafe-tsim-sha-tsui-taiwan-r173559/reviews,Tsim Sha Tsui,2008,[1009],[Taiwan],$101-200,"Shop 22, L3, The ONE, 100 Nathan Road",555,327.0,42.0,3.68222,23437,22.299714808,114.172378778
The Stadium,/en/hongkong/r-the-stadium-kwun-tong-american-r484511/reviews,Kwun Tong,2026,"[4001, 1024]","[American, Upper-floor Cafe]",$101-200,"4/F, The Wave, 4 Hing Yip Street",322,248.0,9.0,3.915833,12695,22.3096739848,114.22457993
Happyland 樂園,/en/hongkong/r-happyland-tsim-sha-tsui-western-r58604/reviews,Tsim Sha Tsui,2008,"[4000, 1024, 6, 1028, 8]","[Western, Upper-floor Cafe, Group Dining, BBQ Ground, Private Party]",$101-200,"Shop 205-06, 2/F, Universal Commercial Building, 65-69 Peking Road",414,365.0,8.0,3.93634,7150,22.296193,114.171609
Shine,/en/hongkong/r-shine-tsim-sha-tsui-western-wine-r513390/reviews,Tsim Sha Tsui,2008,"[4000, 1008, 1003, 6000, 1009]","[Western, Wine, Steak House, International, Seafood]",$201-400,"6/F, Prince Tower, 12A Peking Road",421,373.0,12.0,3.92736,12394,22.296540300000004,114.17128340000001
Hungry Bird 肚餓了串燒烤焗專門店,/en/hongkong/r-hungry-bird-tsim-sha-tsui-hong-kong-style-seafood-r174273/reviews,Tsim Sha Tsui,2008,"[1004, 1009, 11, 1072]","[Hong Kong Style, Seafood, Casual Drink, Skewer]",$101-200,"6/F, 17-19 Ashley Road",427,337.0,43.0,3.702804,15322,22.2969766,114.17030849999999
Cheng Banzhang Taiwan Delicacy 程班長台灣美食,/en/hongkong/r-cheng-banzhang-taiwan-delicacy-lai-chi-kok-taiwan-noodles-rice-noodles-r138997/reviews,Lai Chi Kok,2016,"[1009, 1010, 1039]","[Taiwan, Noodles/Rice Noodles, Wonton/Dumpling]",$51-100,"Flat 02, 1/F, Elite Industrial Centre, 883 Cheung Sha Wan Road",410,252.0,24.0,3.588174,18817,22.3366644136,114.147439599
Dabyida Restaurant and Bar,/en/hongkong/r-dabyida-restaurant-and-bar-tsim-sha-tsui-italian-seafood-r127192/reviews,Tsim Sha Tsui,2008,"[3006, 1009, 1003, 1022]","[Italian, Seafood, Steak House, Pizza]",$201-400,"Shop G5-6 G/F, 8 Minden Avenue",425,330.0,13.0,3.827083,12068,22.2967873037,114.17403638399999
Chateh 百樂小館,/en/hongkong/r-chateh-tsim-sha-tsui-chiu-chow-r185336/reviews,Tsim Sha Tsui,2008,"[1001, 1005]","[Chiu Chow, Dim Sum Restaurant]",$201-400,"Shop 405, L4, FoodLoft, Mira Place One, 132 Nathan Road",326,304.0,5.0,4.015873,7515,22.3008446,114.17220549999999
Deluxe Daikiya Japanese Restaurant 極尚大喜屋日本料理,/en/hongkong/r-deluxe-daikiya-japanese-restaurant-tsim-sha-tsui-japanese-all-you-can-eat-r166138/reviews,Tsim Sha Tsui,2008,"[2009, 1076, 1083]","[Japanese, All-you-can-eat, Food Wise Eateries]",$201-400,"Shop 102, 1/F, Albion Plaza, 2-6 Granville Road",325,242.0,11.0,3.976237,27591,22.299381,114.172676
Amico 1890,/en/hongkong/r-amico-1890-mong-kok-western-pizza-r445102/reviews,Mong Kok,2010,"[4000, 1022]","[Western, Pizza]",$101-200,"G/F, 24 Sai Yee Street",352,265.0,13.0,3.793859,12154,22.3176501081,114.172254001
壹火鍋,/en/hongkong/r-%E5%A3%B9%E7%81%AB%E9%8D%8B-mong-kok-hong-kong-style-chicken-hot-pot-r193847/reviews,Mong Kok,2010,"[1004, 1001, 1074, 1204]","[Hong Kong Style, Hot Pot, Chicken Hot Pot, Steam Hotpot]",$201-400,"16/F, CTMA Centre, 1 Sai Yeung Choi Street",242,201.0,5.0,3.919347,12064,22.315825324099997,114.170584381
Plato,/en/hongkong/r-plato-yau-ma-tei-western-r140768/reviews,Yau Ma Tei,2011,"[4000, 1008, 11]","[Western, Coffee Shop, Casual Drink]",$101-200,"Shop D, G/F, Man Hoo Court, 448-452A Nathan Road",345,291.0,20.0,3.855775,10594,22.3102318,114.1714477
Cambo ขุนทอง,/en/hongkong/r-cambo-%E0%B8%82%E0%B8%B8%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%87-tsim-sha-tsui-thai-r47405/reviews,Tsim Sha Tsui,2008,"[2002, 2004]","[Vietnamese, Thai]",$101-200,"Shop L403, 4/F, The ONE, 100 Nathan Road",514,316.0,66.0,3.567078,15150,22.2999555241,114.172636271
Doux,/en/hongkong/r-doux-mong-kok-international-ice-cream-yogurt-r454318/reviews,Mong Kok,2010,"[6000, 1014, 1010, 1015]","[International, Dessert, Bar, Ice Cream/yogurt]",$51-100,"18/F, 726 Nathan Road",302,226.0,10.0,3.854166,12380,22.3211688,114.16916280000001
Day and Nite by Master Kama,/en/hongkong/r-day-and-nite-by-master-kama-mong-kok-japanese-seafood-r503371/reviews,Mong Kok,2010,"[2009, 1009, 1021, 3006, 1024]","[Japanese, Seafood, Yoshoku, Italian, Upper-floor Cafe]",$51-100,"1 & 2/F, 50 Shan Tung Street",348,282.0,18.0,3.795845,14756,22.3177582252,114.17130097799999
Banmoto Japanese All You Can Eat Restaurant 番本日式放題,/en/hongkong/r-banmoto-japanese-all-you-can-eat-restaurant-mong-kok-japanese-all-you-can-eat-r125748/reviews,Mong Kok,2010,"[2009, 1076, 6]","[Japanese, All-you-can-eat, Group Dining]",$201-400,"3/F, 168 Sai Yeung Choi Street South",584,379.0,56.0,3.583614,20737,22.320757999999998,114.169894
Lady M,/en/hongkong/r-lady-m-tsim-sha-tsui-western-bakery-r452485/reviews,Tsim Sha Tsui,2008,"[4000, 1003, 1008]","[Western, Bakery, Coffee Shop]",$51-100,"Shop OT215K, 2/F, Ocean Terminal, Harbour City, 3-27 Canton Road",320,209.0,11.0,3.707605,16418,22.2948671039,114.16683197
The Place,/en/hongkong/r-the-place-mong-kok-international-seafood-r12121/reviews,Mong Kok,2010,"[6000, 1009, 1011, 6, 1032, 1083]","[International, Seafood, Hotel Restaurant, Group Dining, Buffet, Food Wise Eateries]",$401-800,"Level L, Cordis, Hong Kong at Langham Place, 555 Shanghai Street",405,200.0,67.0,3.4876669999999996,40151,22.3181503059,114.168140888
LM Cafe,/en/hongkong/r-lm-cafe-kwun-tong-western-r466089/reviews,Kwun Tong,2026,"[4000, 1008]","[Western, Coffee Shop]",$51-100,"Shop M, G/F, COS Centre, 56 Tsun Yip Street",313,253.0,18.0,3.790582,5885,22.311312,114.22265320000001
PAN de PAIN Pancakes & Sweets,/en/hongkong/r-pan-de-pain-pancakes-sweets-tsim-sha-tsui-japanese-dessert-r482866/reviews,Tsim Sha Tsui,2008,"[2009, 1014]","[Japanese, Dessert]",$51-100,"Shop B111B, B1/F, K11 Art Mall, 18 Hanoi Road",398,196.0,34.0,3.581958,17507,22.2975781249,114.173320234
Yadllie Plate,/en/hongkong/r-yadllie-plate-mong-kok-korean-korean-fried-chicken-r499690/reviews,Mong Kok,2010,"[2001, 1085]","[Korean, Korean Fried Chicken]",$101-200,"11/F, CTMA Centre, 1 Sai Yeung Choi Street",371,292.0,17.0,3.891456,12461,22.315788,114.17058600000001
Manhattan Grill & Bar,/en/hongkong/r-manhattan-grill-bar-kwun-tong-american-r134545/reviews,Kwun Tong,2026,"[4001, 1010, 8]","[American, Bar, Private Party]",$201-400,"Shop 303, 3/F, One Pacific Centre, 414 Kwun Tong Road",366,276.0,32.0,3.752064,8993,22.312769043000003,114.224656199
Aroy Khao Man Gai 阿來泰式地道風味,/en/hongkong/r-aroy-khao-man-gai-mong-kok-thai-r472513/reviews,Mong Kok,2010,[2004],[Thai],$51-100,"G/F, 97 Tung Choi Street",275,238.0,13.0,3.827083,9169,22.3197361,114.1704503
Lo Dim 老點點心竹筒飯,/en/hongkong/r-lo-dim-mong-kok-guangdong-dim-sum-r124481/reviews,Mong Kok,2010,"[1002, 1036, 1001, 1039, 1041]","[Guangdong, Dim Sum, Stir-Fry, Wonton/Dumpling, Chinese Buns]",$51-100,"Shop A, G/F, Lisa House, 12-14A Yim Po Fong Street",356,240.0,15.0,3.6916160000000002,20110,22.319157999999998,114.172734
The Market,/en/hongkong/r-the-market-tsim-sha-tsui-international-buffet-r51055/reviews,Tsim Sha Tsui,2008,"[6000, 1032, 1011]","[International, Buffet, Hotel Restaurant]",$401-800,"2/F, Hotel ICON, 17 Science Museum Road",393,268.0,30.0,3.864839,28197,22.3005420093,114.179647565
Imperial 御膳,/en/hongkong/r-imperial-kwun-tong-guangdong-seafood-r136302/reviews,Kwun Tong,2026,"[1002, 1009, 1023, 1016]","[Guangdong, Seafood, Private Kitchen, Fine Dried Seafood]",$201-400,"Flat F, 12/F, King Win Factory Building, 65-67 King Yip Street",365,285.0,24.0,3.866104,7949,22.309299,114.226647
Running BBQ Running 燒,/en/hongkong/r-running-bbq-mong-kok-korean-korean-bbq-r467206/reviews,Mong Kok,2010,"[2001, 1032, 1086]","[Korean, Buffet, Korean BBQ]",$201-400,"9/F, 726 Nathan Road",281,253.0,5.0,4.023529,11094,22.3211688,114.16916280000001
ATUM Restaurant,/en/hongkong/r-atum-restaurant-tsim-sha-tsui-western-seafood-r470070/reviews,Tsim Sha Tsui,2008,"[4000, 1009, 1006]","[Western, Seafood, Western Restaurant]",$201-400,"Shop 101B, 1/F, K11 Art Mall, 18 Hanoi Road",281,237.0,11.0,3.946167,14356,22.2977383621,114.173947809
Samurai Ramen 武士拉麵,/en/hongkong/r-samurai-ramen-tsim-sha-tsui-japanese-ramen-r177490/reviews,Tsim Sha Tsui,2008,"[2009, 1005]","[Japanese, Ramen]",$51-100,"Shop D, G/F, Block B, Austin Mansion, 15 Austin Avenue",307,243.0,9.0,3.701062,8748,22.3021475928,114.175338596
Nathan Left 彌敦左岸,/en/hongkong/r-nathan-left-tsim-sha-tsui-western-seafood-r463855/reviews,Tsim Sha Tsui,2008,"[4000, 1009, 1010, 1022]","[Western, Seafood, Bar, Pizza]",$201-400,"B1/F, Hart Avenue Plaza, 5-9 Hart Avenue",293,270.0,1.0,4.083044,6246,22.297925399999997,114.17420039999999
Daimanki Japanese Restaurant 大滿喜日本料理,/en/hongkong/r-daimanki-japanese-restaurant-mong-kok-japanese-all-you-can-eat-r120357/reviews,Mong Kok,2010,"[2009, 1076]","[Japanese, All-you-can-eat]",$201-400,"8/F, Chong Hing Square, 593-601 Nathan Road",383,310.0,21.0,3.806043,16013,22.3162891,114.1697619
Coffee Alley 咖啡弄,/en/hongkong/r-coffee-alley-tsim-sha-tsui-western-r166483/reviews,Tsim Sha Tsui,2008,"[4000, 1008]","[Western, Coffee Shop]",$101-200,"1/F., Hon Hing Mansion, 38 Hankow Road",442,261.0,20.0,3.6579,14679,22.297723094299997,114.17120263
Tsukiji Banmoto Japanese All You Can Eat Restaurant 築地番本日式放題,/en/hongkong/r-tsukiji-banmoto-japanese-all-you-can-eat-restaurant-mong-kok-japanese-all-you-can-eat-r438258/reviews,Mong Kok,2010,"[2009, 1001, 1009, 1076]","[Japanese, Hot Pot, Seafood, All-you-can-eat]",$101-200,"Rm B, 1/F, Deli2, Witty Commercial Building, 1A-1J, Tung Choi St, Mong Kok, Kln",389,280.0,26.0,3.624048,15012,22.3162377,114.1710196
8鍋臭臭鍋,/en/hongkong/r-8%E9%8D%8B%E8%87%AD%E8%87%AD%E9%8D%8B-tsim-sha-tsui-taiwan-hot-pot-r500548/reviews,Tsim Sha Tsui,2008,"[1009, 1001]","[Taiwan, Hot Pot]",$101-200,"G/F, 77 Kimberley Road",268,201.0,10.0,3.811302,13680,22.301813,114.17515149999998
The Drunken Pot 酒鍋,/en/hongkong/r-the-drunken-pot-tsim-sha-tsui-guangdong-hot-pot-r480773/reviews,Tsim Sha Tsui,2008,"[1002, 1001, 1009]","[Guangdong, Hot Pot, Seafood]",$201-400,"Shop 1, 2/F, 8 Observatory Road",274,221.0,7.0,4.108433,15165,22.301,114.17576000000001
Joyful Dessert House,/en/hongkong/r-joyful-dessert-house-mong-kok-western-ice-cream-yogurt-r171276/reviews,Mong Kok,2010,"[4000, 1014, 1008, 1015]","[Western, Dessert, Coffee Shop, Ice Cream/yogurt]",Below $50,"Shop 2&3, G/F, Ngai Hing Mansion, 74 Hak Po Street",343,256.0,27.0,3.6774769999999997,10508,22.3177011929,114.172746241
Candies Foodies,/en/hongkong/r-candies-foodies-tsim-sha-tsui-western-r498781/reviews,Tsim Sha Tsui,2008,"[4000, 1008]","[Western, Coffee Shop]",$101-200,"M/F, Shop 1B & 2B, Tsim Sha Tsui Mansion, 36-50 Lock Road",306,267.0,6.0,3.930392,5965,22.2977056,114.171823
Aidan Korean Dessert Cafe 小火焰韓式咖啡餐廳,/en/hongkong/r-aidan-korean-dessert-cafe-kwun-tong-korean-dessert-r487026/reviews,Kwun Tong,2026,"[2001, 1014, 1008]","[Korean, Dessert, Coffee Shop]",$101-200,"Shop 1, 1/F, Kwun Tong View, 410 Kwun Tong Rd",287,210.0,6.0,3.827978,10331,22.3128705,114.22430159999999
Plato Cafe & Bistro,/en/hongkong/r-plato-cafe-bistro-yau-ma-tei-western-all-day-breakfast-r500317/reviews,Yau Ma Tei,2011,"[4000, 1014, 1008, 8, 1075, 1024]","[Western, Dessert, Coffee Shop, Private Party, All Day Breakfast, Upper-floor Cafe]",$101-200,"2/F, 483-485 Nathan Road",248,203.0,10.0,3.912552,14296,22.3113228,114.1707712
OPPA Korean Restaurant OPPA韓國燒肉店,/en/hongkong/r-oppa-korean-restaurant-mong-kok-korean-korean-bbq-r173172/reviews,Mong Kok,2010,"[2001, 1009, 1025, 1086]","[Korean, Seafood, Roast Meat, Korean BBQ]",$101-200,"G/F, Kin Wong Manison,117 Sai Yee Street",245,207.0,6.0,3.9215760000000004,8306,22.320445199999998,114.1712922
KEBABEER 串酒里,/en/hongkong/r-kebabeer-tsim-sha-tsui-japanese-skewer-r470000/reviews,Tsim Sha Tsui,2008,"[2009, 1025, 1010, 1072, 1035]","[Japanese, Roast Meat, Bar, Skewer, Skewer]",$101-200,"Shop B, G/F,  6 Hillwood Road",266,250.0,4.0,3.950943,6271,22.3025942743,114.17244315100001
Australia Dairy Company 澳洲牛奶公司,/en/hongkong/r-australia-dairy-company-jordan-hong-kong-style-dessert-r90/reviews,Jordan,2028,"[1004, 1014, 1009]","[Hong Kong Style, Dessert, Tea Restaurant]",Below $50,"G/F, 47-49 Parkes Street",2574,1572.0,267.0,3.501682,33429,22.304584,114.170592
Fisher & Farmer 漁牧,/en/hongkong/r-fisher-farmer-tsim-sha-tsui-sichuan-chicken-hot-pot-r453334/reviews,Tsim Sha Tsui,2008,"[1008, 1001, 1083, 1074]","[Sichuan, Hot Pot, Food Wise Eateries, Chicken Hot Pot]",$101-200,"2/F, Carnarvon Plaza, 20 Carnarvon Road‎",286,214.0,14.0,3.7177,14902,22.299236147,114.17326327100001
Amina Modern European,/en/hongkong/r-amina-modern-european-tsim-sha-tsui-french-fine-dining-r48433/reviews,Tsim Sha Tsui,2008,"[3006, 1200, 1023, 3010, 1032]","[Italian, Fine Dining, Private Kitchen, French, Oyster Bar]",$401-800,"Shop A, 5/F, Long Kee Mansion, 54-56 Cameron Road",280,238.0,13.0,4.176562,8825,22.299138,114.175219
韓舍,/en/hongkong/r-%E9%9F%93%E8%88%8D-mong-kok-korean-buffet-r117732/reviews,Mong Kok,2010,"[2001, 1025, 1032]","[Korean, Roast Meat, Buffet]",$101-200,"9/F, Chong Hing Square, 593-601 Nathan Road",421,284.0,53.0,3.537984,14591,22.3163204299,114.169728756
新南苑私房菜火鍋鷄煲,/en/hongkong/r-%E6%96%B0%E5%8D%97%E8%8B%91%E7%A7%81%E6%88%BF%E8%8F%9C%E7%81%AB%E9%8D%8B%E9%B7%84%E7%85%B2-mong-kok-hong-kong-style-chicken-hot-pot-r478712/reviews,Mong Kok,2010,"[1004, 1001, 1008, 1074]","[Hong Kong Style, Hot Pot, Sichuan, Chicken Hot Pot]",$201-400,"3/F, Hua Chiao Commerical Centre, 678 Nathan Road",270,235.0,6.0,4.060687000000001,8721,22.31982,114.16944
CHOO CHOO,/en/hongkong/r-choo-choo-cheung-sha-wan-western-salad-r465956/reviews,Cheung Sha Wan,2013,"[4000, 1014, 1010, 1022, 1081]","[Western, Dessert, Bar, Pizza, Salad]",$101-200,"Shop 1, G/F, Cheung Fai Building, 364-368 Shun Ning Road",237,209.0,6.0,4.094782,9661,22.3405214528,114.154682625
Playa de Papagayo,/en/hongkong/r-playa-de-papagayo-tsim-sha-tsui-spanish-r450499/reviews,Tsim Sha Tsui,2008,"[3011, 1006, 1010]","[Spanish, Western Restaurant, Bar]",$101-200,"Shop N3, G/F, Podium Plaza, 5 Hanoi Road",263,226.0,9.0,3.771626,12294,22.297703100000003,114.1742544
Kobe Fusion Restaurant 神戶屋日韓放題,/en/hongkong/r-kobe-fusion-restaurant-mong-kok-japanese-all-you-can-eat-r183240/reviews,Mong Kok,2010,"[2001, 1034, 2009, 1076]","[Korean, Sushi/Sashimi, Japanese, All-you-can-eat]",$201-400,"8/F, CTMA Centre, 1 Sai Yeung Choi Street",438,365.0,20.0,3.830174,8494,22.3157847,114.1705723
Channel 3 Tapas Bar & Restaurant,/en/hongkong/r-channel-3-tapas-bar-restaurant-prince-edward-spanish-r467157/reviews,Prince Edward,2029,"[3011, 1010]","[Spanish, Bar]",$101-200,"G/F, 228 Tung Choi Street",274,243.0,7.0,3.990671,4016,22.325055,114.16955
Golden Captain Restaurant 金船長餐廳,/en/hongkong/r-golden-captain-restaurant-tai-kok-tsui-italian-pizza-r17994/reviews,Tai Kok Tsui,2005,"[3006, 1022, 1003, 1035]","[Italian, Pizza, Steak House, Hamburger]",$101-200,"Unit 3A, 55 Tai Tsun Street",616,449.0,46.0,3.787904,10017,22.321882106100002,114.160711169
TONO DAIKIYA Japanese Restaurant 殿 大喜屋日本料理,/en/hongkong/r-tono-daikiya-japanese-restaurant-tsim-sha-tsui-japanese-all-you-can-eat-r464818/reviews,Tsim Sha Tsui,2008,"[2009, 1034, 1083, 1072, 1076]","[Japanese, Sushi/Sashimi, Food Wise Eateries, Skewer, All-you-can-eat]",$201-400,"1/F, 26 Kimberley Road",312,208.0,16.0,3.978919,18610,22.300339904,114.173353955
DaBen Ei Japanese Restaurant 大本瀛日式放題,/en/hongkong/r-daben-ei-japanese-restaurant-mong-kok-japanese-all-you-can-eat-r489578/reviews,Mong Kok,2010,"[2009, 1076]","[Japanese, All-you-can-eat]",$201-400,"10/F, CTMA Centre, 1 Sai Yeung Choi Street",368,329.0,10.0,3.9087980000000004,4529,22.315788,114.17058600000001
Deer Kitchen,/en/hongkong/r-deer-kitchen-kwun-tong-western-salad-r481449/reviews,Kwun Tong,2026,"[3006, 1081, 1006, 4000]","[Italian, Salad, Western Restaurant, Western]",$101-200,"Room B3 ,1/F, Good Year Industrial Building, 119-121 How Ming Street",233,201.0,7.0,3.990611,5941,22.311242,114.22493
Let's Jam 一起果醬,/en/hongkong/r-lets-jam-tsim-sha-tsui-western-all-day-breakfast-r452856/reviews,Tsim Sha Tsui,2008,"[4000, 1014, 1008, 1015, 1075]","[Western, Dessert, Coffee Shop, Ice Cream/yogurt, All Day Breakfast]",$101-200,"Shop D, 15-17 Pine Tree Hill Road",270,226.0,11.0,3.834615,8004,22.3031505,114.17335049999998
Tenohira Sushi 掌壽司,/en/hongkong/r-tenohira-sushi-kwun-tong-japanese-sushi-sashimi-r161828/reviews,Kwun Tong,2026,"[2009, 1034]","[Japanese, Sushi/Sashimi]",$201-400,"Flat U, 5/F, Block 3, Camel Paint Buildings, 60 Hoi Yuen Street",261,205.0,18.0,3.9011949999999995,6306,22.310121,114.22506499999999
Japanese Wagyu Yakiniku Pure 和牛燒肉‧純,/en/hongkong/r-japanese-wagyu-yakiniku-pure-tsim-sha-tsui-japanese-roast-meat-r184497/reviews,Tsim Sha Tsui,2008,"[2009, 1025]","[Japanese, Roast Meat]",$201-400,"Shop 3,1/F, Hilton Towers, 96 Granville Road",216,189.0,5.0,4.143382,11873,22.299498999999997,114.17723799999999
Chuan Shao 川燒,/en/hongkong/r-chuan-shao-jordan-japanese-skewer-r148570/reviews,Jordan,2028,"[1008, 1072, 1015, 2009, 1035]","[Sichuan, Skewer, Snack Shop & Deli, Japanese, Skewer]",$101-200,"G/F., 17 Man Ying Street Ferry Point",303,276.0,5.0,3.8384480000000005,9521,22.307080399999997,114.16675359999998
Urban Coffee Roaster,/en/hongkong/r-urban-coffee-roaster-tsim-sha-tsui-western-all-day-breakfast-r471401/reviews,Tsim Sha Tsui,2008,"[4000, 1075, 1008]","[Western, All Day Breakfast, Coffee Shop]",$51-100,"Shop 44, G/F, Mirador Mansion, 7 Bristol Avenue",224,206.0,4.0,3.896846,7986,22.297301,114.1726061
Pom's Kitchen & Deli,/en/hongkong/r-poms-kitchen-deli-jordan-western-r495683/reviews,Jordan,2028,"[4000, 1006, 8, 1008]","[Western, Western Restaurant, Private Party, Coffee Shop]",$101-200,"G/F, 7A-7B Tak Hing Street",248,187.0,16.0,3.853448,11661,22.3046533,114.17231399999999
EAT ME Bar & Restaurant,/en/hongkong/r-eat-me-bar-restaurant-mong-kok-international-r520332/reviews,Mong Kok,2010,"[6000, 1008, 1024]","[International, Coffee Shop, Upper-floor Cafe]",$51-100,"5/F, Grand Place, 560 Nathan Road",442,345.0,23.0,3.7922239999999996,10280,22.3144695,114.170629
Lee Moon Yuen Korea Restaurant 梨滿園韓國料理,/en/hongkong/r-lee-moon-yuen-korea-restaurant-mong-kok-korean-korean-bbq-r437295/reviews,Mong Kok,2010,"[2001, 1086]","[Korean, Korean BBQ]",$101-200,"1/F , Witty Commercial Building Deli2, 1A-1L Tung Choi Street",261,231.0,5.0,3.9845839999999995,5614,22.3162955343,114.17105712
良記餐廳(老鳳冰室),/en/hongkong/r-%E8%89%AF%E8%A8%98%E9%A4%90%E5%BB%B3-%E8%80%81%E9%B3%B3%E5%86%B0%E5%AE%A4-sham-shui-po-hong-kong-style-seafood-r447426/reviews,Sham Shui Po,2019,"[1004, 1009, 1009]","[Hong Kong Style, Seafood, Tea Restaurant]",Below $50,"G/F, 216 Ki Lung Street",257,194.0,10.0,3.804878,10686,22.328720999999998,114.16236
Gozen EDO Japanese Restaurant 御前大江戶日式料理,/en/hongkong/r-gozen-edo-japanese-restaurant-kwun-tong-japanese-all-you-can-eat-r470914/reviews,Kwun Tong,2026,"[2009, 1076]","[Japanese, All-you-can-eat]",$201-400,"8/F, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong",287,194.0,27.0,3.833076,22465,22.3125562,114.22452759999999
Lazy Pot 吞POT 雞煲火鍋.住家菜,/en/hongkong/r-lazy-pot-mong-kok-hong-kong-style-chicken-hot-pot-r490706/reviews,Mong Kok,2010,"[1004, 1001, 1001, 1074]","[Hong Kong Style, Hot Pot, Stir-Fry, Chicken Hot Pot]",$101-200,"23/F, 726 Nathan Road",220,200.0,1.0,4.041784,7137,22.3211688,114.16916280000001
WOFT,/en/hongkong/r-woft-mong-kok-western-r461660/reviews,Mong Kok,2010,[4000],[Western],$101-200,"G/F, 7-8D Yim Po Street",230,192.0,6.0,3.9697769999999997,15376,22.3179528,114.17325490000002
Boat Dweller Steam Hot Pot Specialist 正宗水上人氣鍋專門店,/en/hongkong/r-boat-dweller-steam-hot-pot-specialist-mong-kok-guangdong-hot-pot-r463027/reviews,Mong Kok,2010,"[1002, 1001, 1009, 1018, 1204]","[Guangdong, Hot Pot, Seafood, Congee, Steam Hotpot]",$201-400,"G/F, 196 Portland Street",260,223.0,5.0,3.989837,8450,22.316999999999997,114.1693531
Korean Inn Restaurant 高麗軒韓國料理,/en/hongkong/r-korean-inn-restaurant-tsim-sha-tsui-korean-korean-bbq-r74018/reviews,Tsim Sha Tsui,2008,"[2001, 1025, 1032, 1086]","[Korean, Roast Meat, Buffet, Korean BBQ]",$201-400,"LG/F, 46-48 Kimberley Road,",294,254.0,9.0,3.944265,6723,22.3008756,114.17458429999999
新香園 (堅記),/en/hongkong/r-%E6%96%B0%E9%A6%99%E5%9C%92-%E5%A0%85%E8%A8%98-sham-shui-po-hong-kong-style-r14488/reviews,Sham Shui Po,2019,"[1004, 1009]","[Hong Kong Style, Tea Restaurant]",Below $50,"G/F, 38 Kweilin Street",560,385.0,20.0,3.502416,19025,22.3299160554,114.160984755
i kitchen,/en/hongkong/r-i-kitchen-kwun-tong-international-r176830/reviews,Kwun Tong,2026,[6000],[International],$101-200,"Shop 201, Crown Industrial Building, 106 How Ming Street",235,202.0,5.0,3.9546050000000004,7857,22.311707199999997,114.2237483
Burgeroom,/en/hongkong/r-burgeroom-tsim-sha-tsui-american-hamburger-r495254/reviews,Tsim Sha Tsui,2008,"[4001, 1035, 1007]","[American, Hamburger, Fast Food]",$51-100,"Shop 207, L2, Mira Place One, 132 Nathan Road",263,217.0,10.0,3.957692,6403,22.300931,114.17218000000001
Yahataya Japanese Restaurant 八幡屋日本料理,/en/hongkong/r-yahataya-japanese-restaurant-mong-kok-japanese-all-you-can-eat-r348647/reviews,Mong Kok,2010,"[2009, 1076]","[Japanese, All-you-can-eat]",$201-400,"9/F, CTMA Centre, 1 Sai Yeung Choi Street",467,323.0,72.0,3.435912,11799,22.3157415,114.1706062
Isaba Taifu 漁場台風,/en/hongkong/r-isaba-taifu-mong-kok-japanese-ramen-r445841/reviews,Mong Kok,2010,"[2009, 1005]","[Japanese, Ramen]",$51-100,"G/F, 39 Fife Street, Kin Wong Mansion",222,169.0,7.0,3.906775,9159,22.320366500000002,114.17132140000001
